n = 100, Dijkstra time = 6.53e-05, Bellman-Ford time = 3.24e-05
n = 200, Dijkstra time = 0.0007792, Bellman-Ford time = 0.0016648
n = 300, Dijkstra time = 0.002031, Bellman-Ford time = 0.0067279
n = 400, Dijkstra time = 0.004674, Bellman-Ford time = 0.0155568
n = 500, Dijkstra time = 0.0076099, Bellman-Ford time = 0.0355998
n = 600, Dijkstra time = 0.0133491, Bellman-Ford time = 0.0440918
n = 700, Dijkstra time = 0.0134423, Bellman-Ford time = 0.146611
n = 800, Dijkstra time = 0.0192499, Bellman-Ford time = 0.145589
n = 900, Dijkstra time = 0.0278864, Bellman-Ford time = 0.183978
n = 1000, Dijkstra time = 0.0300485, Bellman-Ford time = 0.199402
n = 1100, Dijkstra time = 0.0252227, Bellman-Ford time = 0.164863
n = 1200, Dijkstra time = 0.0259053, Bellman-Ford time = 0.220139
n = 1300, Dijkstra time = 0.036205, Bellman-Ford time = 0.257006
n = 1400, Dijkstra time = 0.0314922, Bellman-Ford time = 0.365754
n = 1500, Dijkstra time = 0.0361955, Bellman-Ford time = 0.394768
n = 1600, Dijkstra time = 0.0459959, Bellman-Ford time = 0.407908
n = 1700, Dijkstra time = 0.0446889, Bellman-Ford time = 0.430989
n = 1800, Dijkstra time = 0.0526576, Bellman-Ford time = 0.534581
n = 1900, Dijkstra time = 0.0549601, Bellman-Ford time = 0.651132
n = 2000, Dijkstra time = 0.0601439, Bellman-Ford time = 0.705589
n = 2100, Dijkstra time = 0.0676973, Bellman-Ford time = 0.833896
n = 2200, Dijkstra time = 0.0769484, Bellman-Ford time = 0.883327
n = 2300, Dijkstra time = 0.0779635, Bellman-Ford time = 0.931263
n = 2400, Dijkstra time = 0.0847054, Bellman-Ford time = 0.963911
n = 2500, Dijkstra time = 0.0902919, Bellman-Ford time = 1.09673
n = 2600, Dijkstra time = 0.107897, Bellman-Ford time = 1.26206
n = 2700, Dijkstra time = 0.115106, Bellman-Ford time = 1.33325
n = 2800, Dijkstra time = 0.113537, Bellman-Ford time = 1.44505
n = 2900, Dijkstra time = 0.124477, Bellman-Ford time = 1.53126
n = 3000, Dijkstra time = 0.128414, Bellman-Ford time = 1.88184
n = 3100, Dijkstra time = 0.138305, Bellman-Ford time = 1.70341
n = 3200, Dijkstra time = 0.14268, Bellman-Ford time = 1.9517
n = 3300, Dijkstra time = 0.154108, Bellman-Ford time = 2.23295
n = 3400, Dijkstra time = 0.16788, Bellman-Ford time = 2.53344
n = 3500, Dijkstra time = 0.181521, Bellman-Ford time = 2.50665
n = 3600, Dijkstra time = 0.18498, Bellman-Ford time = 2.82474
n = 3700, Dijkstra time = 0.203571, Bellman-Ford time = 2.93936
n = 3800, Dijkstra time = 0.21079, Bellman-Ford time = 3.20291
n = 3900, Dijkstra time = 0.216332, Bellman-Ford time = 3.18909
n = 4000, Dijkstra time = 0.223557, Bellman-Ford time = 3.10563
n = 4100, Dijkstra time = 0.228282, Bellman-Ford time = 3.43117
n = 4200, Dijkstra time = 0.24646, Bellman-Ford time = 3.86091
n = 4300, Dijkstra time = 0.259935, Bellman-Ford time = 3.76832
n = 4400, Dijkstra time = 0.269539, Bellman-Ford time = 3.93838
n = 4500, Dijkstra time = 0.282709, Bellman-Ford time = 4.30264
n = 4600, Dijkstra time = 0.287026, Bellman-Ford time = 4.53642
n = 4700, Dijkstra time = 0.328185, Bellman-Ford time = 4.52698
n = 4800, Dijkstra time = 0.308899, Bellman-Ford time = 5.21966
n = 4900, Dijkstra time = 0.375159, Bellman-Ford time = 4.83908
n = 5000, Dijkstra time = 0.339551, Bellman-Ford time = 5.3763
n = 5100, Dijkstra time = 0.352143, Bellman-Ford time = 5.19831
n = 5200, Dijkstra time = 0.361026, Bellman-Ford time = 6.47104
n = 5300, Dijkstra time = 0.377238, Bellman-Ford time = 5.73712
n = 5400, Dijkstra time = 0.394846, Bellman-Ford time = 6.4947
n = 5500, Dijkstra time = 0.43325, Bellman-Ford time = 6.49804
n = 5600, Dijkstra time = 0.428251, Bellman-Ford time = 7.97046
n = 5700, Dijkstra time = 0.4391, Bellman-Ford time = 7.6141
n = 5800, Dijkstra time = 0.463672, Bellman-Ford time = 8.16008
n = 5900, Dijkstra time = 0.492241, Bellman-Ford time = 7.85299
n = 6000, Dijkstra time = 0.521762, Bellman-Ford time = 7.90099
n = 6100, Dijkstra time = 0.55096, Bellman-Ford time = 8.28511
n = 6200, Dijkstra time = 0.555199, Bellman-Ford time = 8.62641
n = 6300, Dijkstra time = 0.574754, Bellman-Ford time = 10.4354
n = 6400, Dijkstra time = 0.550874, Bellman-Ford time = 9.37032
n = 6500, Dijkstra time = 0.56487, Bellman-Ford time = 9.51863
n = 6600, Dijkstra time = 0.66279, Bellman-Ford time = 10.7129
n = 6700, Dijkstra time = 0.609276, Bellman-Ford time = 10.9854
n = 6800, Dijkstra time = 0.61215, Bellman-Ford time = 10.4009
n = 6900, Dijkstra time = 0.650455, Bellman-Ford time = 11.4805
n = 7000, Dijkstra time = 0.683961, Bellman-Ford time = 12.1055
n = 7100, Dijkstra time = 0.676797, Bellman-Ford time = 12.7579
n = 7200, Dijkstra time = 0.708748, Bellman-Ford time = 11.4747
n = 7300, Dijkstra time = 0.727334, Bellman-Ford time = 12.4561
n = 7400, Dijkstra time = 0.708014, Bellman-Ford time = 12.0282
n = 7500, Dijkstra time = 0.706357, Bellman-Ford time = 11.9082
n = 7600, Dijkstra time = 0.739157, Bellman-Ford time = 14.7478
n = 7700, Dijkstra time = 0.750257, Bellman-Ford time = 13.4752
n = 7800, Dijkstra time = 0.844162, Bellman-Ford time = 15.4208
n = 7900, Dijkstra time = 0.825849, Bellman-Ford time = 13.4669
n = 8000, Dijkstra time = 0.81418, Bellman-Ford time = 13.1883
n = 8100, Dijkstra time = 0.846383, Bellman-Ford time = 15.0653
n = 8200, Dijkstra time = 0.843767, Bellman-Ford time = 14.2705
n = 8300, Dijkstra time = 0.888268, Bellman-Ford time = 15.6918
n = 8400, Dijkstra time = 1.10635, Bellman-Ford time = 16.8881
n = 8500, Dijkstra time = 0.923349, Bellman-Ford time = 15.8446
