n = 100, Dijkstra time = 1.58e-05, Bellman-Ford time = 2.13e-05
n = 200, Dijkstra time = 0.0007731, Bellman-Ford time = 0.0019225
n = 300, Dijkstra time = 0.0018857, Bellman-Ford time = 0.0070879
n = 400, Dijkstra time = 0.0032499, Bellman-Ford time = 0.0171129
n = 500, Dijkstra time = 0.0049916, Bellman-Ford time = 0.0229789
n = 600, Dijkstra time = 0.0069123, Bellman-Ford time = 0.0407779
n = 700, Dijkstra time = 0.0090408, Bellman-Ford time = 0.0536673
n = 800, Dijkstra time = 0.0122566, Bellman-Ford time = 0.0702347
n = 900, Dijkstra time = 0.0132471, Bellman-Ford time = 0.103603
n = 1000, Dijkstra time = 0.0155106, Bellman-Ford time = 0.13893
n = 1100, Dijkstra time = 0.0193636, Bellman-Ford time = 0.18311
n = 1200, Dijkstra time = 0.0236689, Bellman-Ford time = 0.227597
n = 1300, Dijkstra time = 0.0250884, Bellman-Ford time = 0.25429
n = 1400, Dijkstra time = 0.0286904, Bellman-Ford time = 0.264452
n = 1500, Dijkstra time = 0.0322681, Bellman-Ford time = 0.324598
n = 1600, Dijkstra time = 0.0344899, Bellman-Ford time = 0.372779
n = 1700, Dijkstra time = 0.0410451, Bellman-Ford time = 0.448762
n = 1800, Dijkstra time = 0.0434384, Bellman-Ford time = 0.590023
n = 1900, Dijkstra time = 0.048619, Bellman-Ford time = 0.637224
n = 2000, Dijkstra time = 0.0540353, Bellman-Ford time = 0.691526
n = 2100, Dijkstra time = 0.058481, Bellman-Ford time = 0.811032
n = 2200, Dijkstra time = 0.0595734, Bellman-Ford time = 0.874891
n = 2300, Dijkstra time = 0.0641819, Bellman-Ford time = 0.960443
n = 2400, Dijkstra time = 0.0714515, Bellman-Ford time = 0.954348
n = 2500, Dijkstra time = 0.0879657, Bellman-Ford time = 1.11199
n = 2600, Dijkstra time = 0.0813778, Bellman-Ford time = 1.11455
n = 2700, Dijkstra time = 0.0898632, Bellman-Ford time = 1.25143
n = 2800, Dijkstra time = 0.110608, Bellman-Ford time = 1.318
n = 2900, Dijkstra time = 0.120003, Bellman-Ford time = 1.4888
n = 3000, Dijkstra time = 0.125042, Bellman-Ford time = 1.56872
n = 3100, Dijkstra time = 0.115117, Bellman-Ford time = 1.86995
n = 3200, Dijkstra time = 0.143268, Bellman-Ford time = 1.95834
n = 3300, Dijkstra time = 0.125759, Bellman-Ford time = 1.97765
n = 3400, Dijkstra time = 0.154527, Bellman-Ford time = 2.13272
n = 3500, Dijkstra time = 0.191388, Bellman-Ford time = 2.5189
n = 3600, Dijkstra time = 0.190854, Bellman-Ford time = 2.60473
n = 3700, Dijkstra time = 0.197656, Bellman-Ford time = 2.80174
n = 3800, Dijkstra time = 0.208737, Bellman-Ford time = 2.71675
n = 3900, Dijkstra time = 0.18021, Bellman-Ford time = 3.23724
n = 4000, Dijkstra time = 0.229476, Bellman-Ford time = 3.21667
n = 4100, Dijkstra time = 0.250302, Bellman-Ford time = 3.24977
n = 4200, Dijkstra time = 0.251625, Bellman-Ford time = 3.34941
n = 4300, Dijkstra time = 0.22989, Bellman-Ford time = 3.95906
n = 4400, Dijkstra time = 0.263618, Bellman-Ford time = 4.09256
n = 4500, Dijkstra time = 0.29798, Bellman-Ford time = 4.64404
n = 4600, Dijkstra time = 0.303068, Bellman-Ford time = 3.96564
n = 4700, Dijkstra time = 0.310665, Bellman-Ford time = 4.88553
n = 4800, Dijkstra time = 0.272237, Bellman-Ford time = 5.63652
n = 4900, Dijkstra time = 0.376052, Bellman-Ford time = 4.75043
n = 5000, Dijkstra time = 0.3388, Bellman-Ford time = 5.14707
n = 5100, Dijkstra time = 0.333056, Bellman-Ford time = 5.68344
n = 5200, Dijkstra time = 0.451467, Bellman-Ford time = 5.9889
n = 5300, Dijkstra time = 0.478954, Bellman-Ford time = 6.90726
n = 5400, Dijkstra time = 0.471258, Bellman-Ford time = 7.8308
n = 5500, Dijkstra time = 0.632428, Bellman-Ford time = 8.11961
n = 5600, Dijkstra time = 0.498074, Bellman-Ford time = 8.19994
n = 5700, Dijkstra time = 0.512471, Bellman-Ford time = 7.94471
n = 5800, Dijkstra time = 0.544902, Bellman-Ford time = 8.33609
n = 5900, Dijkstra time = 0.602739, Bellman-Ford time = 8.2772
n = 6000, Dijkstra time = 0.603812, Bellman-Ford time = 9.65527
n = 6100, Dijkstra time = 0.622073, Bellman-Ford time = 10.8062
n = 6200, Dijkstra time = 0.648722, Bellman-Ford time = 8.83224
n = 6300, Dijkstra time = 0.615149, Bellman-Ford time = 10.5844
n = 6400, Dijkstra time = 0.834349, Bellman-Ford time = 9.88879
n = 6500, Dijkstra time = 0.669824, Bellman-Ford time = 10.3467
n = 6600, Dijkstra time = 0.682138, Bellman-Ford time = 10.2939
n = 6700, Dijkstra time = 0.649893, Bellman-Ford time = 10.6576
n = 6800, Dijkstra time = 0.683589, Bellman-Ford time = 12.6251
n = 6900, Dijkstra time = 0.674188, Bellman-Ford time = 12.0852
n = 7000, Dijkstra time = 0.702446, Bellman-Ford time = 12.6943
n = 7100, Dijkstra time = 0.80781, Bellman-Ford time = 11.4655
n = 7200, Dijkstra time = 0.934985, Bellman-Ford time = 12.0129
n = 7300, Dijkstra time = 0.754732, Bellman-Ford time = 12.475
n = 7400, Dijkstra time = 0.76091, Bellman-Ford time = 12.208
n = 7500, Dijkstra time = 0.806064, Bellman-Ford time = 12.548
n = 7600, Dijkstra time = 0.808719, Bellman-Ford time = 12.8203
n = 7700, Dijkstra time = 0.812261, Bellman-Ford time = 14.204
n = 7800, Dijkstra time = 0.835428, Bellman-Ford time = 15.9027
n = 7900, Dijkstra time = 0.879409, Bellman-Ford time = 14.0081
n = 8000, Dijkstra time = 0.930047, Bellman-Ford time = 16.5198
n = 8100, Dijkstra time = 0.917559, Bellman-Ford time = 18.2355
n = 8200, Dijkstra time = 0.928898, Bellman-Ford time = 15.2124
n = 8300, Dijkstra time = 1.01684, Bellman-Ford time = 16.3469
n = 8400, Dijkstra time = 1.09653, Bellman-Ford time = 15.909
