n = 101, Dijkstra time = 0.000797, Bellman-Ford time = 0.0017953
n = 201, Dijkstra time = 0.0019942, Bellman-Ford time = 0.0064425
n = 301, Dijkstra time = 0.0035424, Bellman-Ford time = 0.0167954
n = 401, Dijkstra time = 0.0080243, Bellman-Ford time = 0.0270148
n = 501, Dijkstra time = 0.0106739, Bellman-Ford time = 0.0675982
n = 601, Dijkstra time = 0.0188284, Bellman-Ford time = 0.0925252
n = 701, Dijkstra time = 0.0291986, Bellman-Ford time = 0.161576
n = 801, Dijkstra time = 0.0271114, Bellman-Ford time = 0.173577
n = 901, Dijkstra time = 0.02296, Bellman-Ford time = 0.193704
n = 1001, Dijkstra time = 0.0259832, Bellman-Ford time = 0.16644
n = 1101, Dijkstra time = 0.0265875, Bellman-Ford time = 0.19244
n = 1201, Dijkstra time = 0.0285796, Bellman-Ford time = 0.245837
n = 1301, Dijkstra time = 0.0322022, Bellman-Ford time = 0.324654
n = 1401, Dijkstra time = 0.0382383, Bellman-Ford time = 0.396718
n = 1501, Dijkstra time = 0.0421535, Bellman-Ford time = 0.412351
n = 1601, Dijkstra time = 0.0469207, Bellman-Ford time = 0.500286
n = 1701, Dijkstra time = 0.0508007, Bellman-Ford time = 0.504565
n = 1801, Dijkstra time = 0.0536266, Bellman-Ford time = 0.603422
n = 1901, Dijkstra time = 0.0621071, Bellman-Ford time = 0.642882
n = 2001, Dijkstra time = 0.0664345, Bellman-Ford time = 0.700871
n = 2101, Dijkstra time = 0.0722134, Bellman-Ford time = 0.815778
n = 2201, Dijkstra time = 0.0908797, Bellman-Ford time = 0.917558
n = 2301, Dijkstra time = 0.0844102, Bellman-Ford time = 0.997295
n = 2401, Dijkstra time = 0.0957381, Bellman-Ford time = 1.09925
n = 2501, Dijkstra time = 0.0998932, Bellman-Ford time = 1.23472
n = 2601, Dijkstra time = 0.106387, Bellman-Ford time = 1.38907
n = 2701, Dijkstra time = 0.116918, Bellman-Ford time = 1.49409
n = 2801, Dijkstra time = 0.124254, Bellman-Ford time = 1.55701
n = 2901, Dijkstra time = 0.146552, Bellman-Ford time = 1.88426
n = 3001, Dijkstra time = 0.142253, Bellman-Ford time = 1.74131
n = 3101, Dijkstra time = 0.157567, Bellman-Ford time = 2.05963
n = 3201, Dijkstra time = 0.159146, Bellman-Ford time = 2.03625
n = 3301, Dijkstra time = 0.162471, Bellman-Ford time = 2.10554
n = 3401, Dijkstra time = 0.169627, Bellman-Ford time = 2.32478
n = 3501, Dijkstra time = 0.182492, Bellman-Ford time = 2.5163
n = 3601, Dijkstra time = 0.196623, Bellman-Ford time = 2.58452
n = 3701, Dijkstra time = 0.200447, Bellman-Ford time = 3.19082
n = 3801, Dijkstra time = 0.208857, Bellman-Ford time = 3.16729
n = 3901, Dijkstra time = 0.287764, Bellman-Ford time = 4.23669
n = 4001, Dijkstra time = 0.235557, Bellman-Ford time = 3.64975
n = 4101, Dijkstra time = 0.24639, Bellman-Ford time = 3.32617
n = 4201, Dijkstra time = 0.251537, Bellman-Ford time = 3.616
n = 4301, Dijkstra time = 0.263643, Bellman-Ford time = 4.07488
n = 4401, Dijkstra time = 0.322645, Bellman-Ford time = 4.05301
n = 4501, Dijkstra time = 0.282766, Bellman-Ford time = 4.61307
n = 4601, Dijkstra time = 0.304123, Bellman-Ford time = 4.972
n = 4701, Dijkstra time = 0.358353, Bellman-Ford time = 5.11536
n = 4801, Dijkstra time = 0.323691, Bellman-Ford time = 5.32718
n = 4901, Dijkstra time = 0.355784, Bellman-Ford time = 5.11331
n = 5001, Dijkstra time = 0.37106, Bellman-Ford time = 5.61835
n = 5101, Dijkstra time = 0.36417, Bellman-Ford time = 5.71026
n = 5201, Dijkstra time = 0.386887, Bellman-Ford time = 5.73069
n = 5301, Dijkstra time = 0.395373, Bellman-Ford time = 6.03059
n = 5401, Dijkstra time = 0.416822, Bellman-Ford time = 6.56914
n = 5501, Dijkstra time = 0.423774, Bellman-Ford time = 7.53938
n = 5601, Dijkstra time = 0.459413, Bellman-Ford time = 7.13488
n = 5701, Dijkstra time = 0.474187, Bellman-Ford time = 7.24667
n = 5801, Dijkstra time = 0.465904, Bellman-Ford time = 7.34701
n = 5901, Dijkstra time = 0.471479, Bellman-Ford time = 7.13209
n = 6001, Dijkstra time = 0.488593, Bellman-Ford time = 8.13195
n = 6101, Dijkstra time = 0.498852, Bellman-Ford time = 9.65273
n = 6201, Dijkstra time = 0.52827, Bellman-Ford time = 9.31259
n = 6301, Dijkstra time = 0.541293, Bellman-Ford time = 8.12931
n = 6401, Dijkstra time = 0.577056, Bellman-Ford time = 9.79275
n = 6501, Dijkstra time = 0.586889, Bellman-Ford time = 8.70861
n = 6601, Dijkstra time = 0.617684, Bellman-Ford time = 10.8407
n = 6701, Dijkstra time = 0.604834, Bellman-Ford time = 10.7031
n = 6801, Dijkstra time = 0.635635, Bellman-Ford time = 10.4818
n = 6901, Dijkstra time = 0.638286, Bellman-Ford time = 11.9491
n = 7001, Dijkstra time = 0.673603, Bellman-Ford time = 13.1935
n = 7101, Dijkstra time = 0.668046, Bellman-Ford time = 11.9419
n = 7201, Dijkstra time = 0.699321, Bellman-Ford time = 11.6176
n = 7301, Dijkstra time = 0.764864, Bellman-Ford time = 12.6829
n = 7401, Dijkstra time = 0.762763, Bellman-Ford time = 13.0826
n = 7501, Dijkstra time = 0.752908, Bellman-Ford time = 12.9114
n = 7601, Dijkstra time = 0.785566, Bellman-Ford time = 14.9902
n = 7701, Dijkstra time = 0.787335, Bellman-Ford time = 14.3064
n = 7801, Dijkstra time = 0.817187, Bellman-Ford time = 14.4625
n = 7901, Dijkstra time = 0.834023, Bellman-Ford time = 14.7621
n = 8001, Dijkstra time = 0.851047, Bellman-Ford time = 15.5149
n = 8101, Dijkstra time = 0.876845, Bellman-Ford time = 15.9789
n = 8201, Dijkstra time = 0.89167, Bellman-Ford time = 16.485
n = 8301, Dijkstra time = 0.948797, Bellman-Ford time = 16.8622
n = 8401, Dijkstra time = 0.957071, Bellman-Ford time = 17.236
n = 8501, Dijkstra time = 1.01381, Bellman-Ford time = 16.9661
n = 8601, Dijkstra time = 0.973691, Bellman-Ford time = 19.2197
n = 8701, Dijkstra time = 1.023, Bellman-Ford time = 18.0649
